Mixture	Tgd	CD8_Tem	Tte	MAIT	NK	Treg	CD4_Tem	CD8_Tem_PD1	Naive_like	HLADR_CD8	Tex	P-value	Correlation	RMSE
TCGA.A6.A5ZU.01A.11R.A28H.07	0.0667379220316881	0.199925454725909	0.0969009126021871	0.061727454836935	0.107771339141459	0.0955859958215729	0.0785484768695	0.0441576325779546	0.114999750752755	0.0544047850013708	0.0792402756386684	0	0.689592063510082	0.761893928304453
TCGA.AA.3488.01A.01R.1410.07	0.0478493006081988	0.17060197144548	0.0919074675934056	0.0475151214971013	0.0714617458865279	0.0786415785735591	0.126343376338416	0.0761852634171119	0.0675032074311068	0.134958347940853	0.0870326192682391	0	0.676731242828992	0.758061567241036
TCGA.AA.3489.01A.21R.1839.07	0.0583195495066238	0.189623871258095	0.100848708893429	0.0601490377858732	0.122428830908714	0.087263392238646	0.078849981181905	0.046689721758322	0.091149865366063	0.0691519601879835	0.0955250809143459	0	0.630423283998058	0.793268865611708
TCGA.AA.3489.11A.01R.1839.07	0.0380167665930649	0.204830024188808	0.111694336897905	0.0294965784079919	0.0911572028464726	0.0491808778652007	0.111055154963916	0.0673343729933256	0.0711629730249114	0.15073455006317	0.075337162155233	0	0.73857903788251	0.71694498062585
TCGA.AA.3492.01A.01R.1410.07	0.0478548578886951	0.259131777463932	0.0911222743705277	0.0535659411702604	0.0772741087571049	0.0852395589417799	0.103799178901958	0.0473094555517992	0.0909337326119477	0.0407843915194196	0.102984722822576	0	0.735802367550492	0.734605760298703
TCGA.AA.3494.01A.01R.1410.07	0.0584557952130398	0.229078145069947	0.0957525304177125	0.0425539429530169	0.0682465085108411	0.094230200168143	0.0755692348994765	0.0608919769299086	0.112230320746743	0.0955495770593989	0.0674417680317721	0	0.690541045921521	0.761841376821575
TCGA.AA.3495.01A.01R.1410.07	0.0407848314940964	0.120973500198981	0.0945338578139039	0.0561694159183054	0.0769867247090655	0.0762245526999591	0.113708171939885	0.0965731551788316	0.0997401516212192	0.16031966783688	0.0639859705888733	0	0.84119036295278	0.636648764391864
TCGA.AA.3496.01A.21R.1839.07	0.0742330954961169	0.187614779697727	0.0912600690055712	0.0633115568989182	0.0914327485386688	0.0790683701966889	0.0906795281611921	0.0570886562429789	0.103561411033213	0.0876888753233162	0.0740609094056085	0	0.746980515225752	0.724105602485351
TCGA.AA.3496.11A.01R.1839.07	0.0283453472163148	0.178963494052303	0.112948203927824	0.0359068828867914	0.0917171735350376	0.0435311843406721	0.119905309212374	0.0784938837258648	0.0684761544197791	0.167494608156733	0.0742177585263071	0	0.627061238935263	0.787773116268608
TCGA.AA.3502.01A.01R.1410.07	0.0474297376179477	0.20855471164363	0.109749250568252	0.0592472664156867	0.0590698979486788	0.06684701336427	0.103796635323251	0.0411258022350538	0.101457539925225	0.125821859349884	0.0769002856081201	0	0.718953498573973	0.734306041117114
TCGA.AA.3506.01A.01R.1410.07	0.0507330381552057	0.158359444730794	0.122616425199151	0.0595777377555212	0.0720998738301343	0.0820970285840659	0.0993885992433426	0.0324058588560052	0.053400307659535	0.186966931899296	0.0823547540869493	0	0.772741641136011	0.677360676927314
TCGA.AA.3509.01A.01R.1410.07	0.0552068378419053	0.141506945890019	0.0877798554104128	0.0483233745648518	0.077635335346293	0.0868782352595288	0.114663855939815	0.0810575744304474	0.126979238533854	0.101556797438755	0.0784119493441178	0	0.730202823670082	0.729395560118388
TCGA.AA.3510.01A.01R.1410.07	0.0496828546637203	0.155152891175081	0.107718715157654	0.0473967098838854	0.0867248458391931	0.0603486820241593	0.134108445124227	0.0686494935386578	0.0638224913197015	0.158164475797734	0.0682303954759857	0	0.806676313422026	0.660581439094814
TCGA.AA.3511.01A.21R.1839.07	0.040657529405389	0.230934925111181	0.093740285853544	0.0605804069946464	0.096261572306727	0.0734528687344591	0.0948376314944108	0.0751029608026099	0.09007441994389	0.067612142118761	0.0767452572343817	0	0.8113062554502	0.687355852250366
TCGA.AA.3511.11A.01R.1839.07	0.0399913760616244	0.153030451200193	0.119337972749124	0.0323957059466882	0.0821020192734126	0.0488588589992783	0.136203262099431	0.0782383906430627	0.0634035950691883	0.174424185374292	0.0720141825837047	0	0.655819396697757	0.766185356795739
TCGA.AA.3514.01A.02R.0821.07	0.0531662548168262	0.179757417964911	0.114855218698882	0.0563599544325829	0.0999903138694678	0.0809648581352115	0.156915160499214	0.0835170479970549	0.0158659073705788	0.0569202106370978	0.101687655578173	0	0.5666422722507	0.826935865272195
TCGA.AA.3514.11A.01R.A32Z.07	0.0249648866274409	0.205933699724142	0.103141932185086	0.0401545715087116	0.078926626013415	0.0509146318422716	0.143179971730231	0.0997620136851879	0.0423859797065451	0.143694277204626	0.066941409772342	0	0.622015039214348	0.793035544167855
TCGA.AA.3516.01A.02R.0826.07	0.0500967350963327	0.206836622728304	0.0943927937441513	0.0573084621774326	0.080740314416621	0.0808473408231775	0.0944624107734157	0.0399221871057398	0.100107083968016	0.118280909302978	0.0770051398638318	0	0.717735776498625	0.738073044362433
TCGA.AA.3516.11A.01R.A32Z.07	0.0236907177061	0.094977321245364	0.122319764965094	0.0514735499256813	0.0862997840152185	0.034486312341025	0.158590868663403	0.0838615435553314	0.0337468483447048	0.229760730612653	0.0807925586254251	0	0.700987927254398	0.722670833685701
TCGA.AA.3517.01A.01R.0821.07	0.0673638337248342	0.0768901372457599	0.127141170395232	0.0705964826131846	0.077052754848267	0.0795358029094218	0.0950340180009126	0.0397800871241124	0.114265925104095	0.157814473313459	0.0945253147207207	0	0.785767133888199	0.668992654471947
TCGA.AA.3517.11A.01R.A32Z.07	0.0325463797985159	0.11474692214319	0.109213847819404	0.0442510510769772	0.0846744301398757	0.0467051230179004	0.153741637989893	0.0837562512711409	0.0626127135768493	0.194239671366748	0.0735119717995057	0	0.627326647691923	0.783042927703225
