Mixture	CD4_Tem	CD8_Tem_GZMK_high	CD8_Tem_GZMK_low	CD8_Tem_PD1	HLADR_CD8	MAIT	Naive_like	NK	Tex	Tgd	Treg	Tte	P-value	Correlation	RMSE
TCGA.A6.2680.11A.01R.A32Z.07	0.128256342175756	0.0611688937424543	0.143010488514704	0.067428821113457	0.132709832793939	0.0525527951968145	0.116933584676712	0.066915919374384	0.0667075099867228	0.00700330636567311	0.0425572615453155	0.114755244514067	0	0.749534248441547	0.701924373524472
TCGA.A6.2681.01A.01R.1410.07	0.121921413708593	0.120847971505301	0.111491184331725	0.0562382862830442	0.0399575235809886	0.0579381963933421	0.11224399687028	0.0847471405145372	0.0823864275508053	0.0421753398685108	0.0754472055056614	0.0946053138872108	0	0.743464223287938	0.721064077101208
TCGA.A6.2682.01A.01R.1410.07	0.108693036211963	0.118864733272166	0.095118393630772	0.0573068558830085	0.0840997487247753	0.0522115931506483	0.0971693003314916	0.0713716573796679	0.0827943796756649	0.0532103186647099	0.0634875748878843	0.115672408187248	0	0.714655900839486	0.732127146825445
TCGA.A6.2682.11A.01R.A32Z.07	0.148171551567714	0.0590057499691836	0.120081621696683	0.0698434944579434	0.13924088342197	0.0323240820180655	0.107203571682339	0.0818780879554439	0.0671627316400823	0.0324992769173779	0.0348742490373325	0.107714699635865	0	0.529749249439944	0.848202178226541
TCGA.A6.2683.01A.01R.0821.07	0.119399303392902	0.0349954749159303	0.128607897650614	0.0627446552162967	0.1418776757503	0.0608903584330446	0.0850265238979814	0.0443050576953978	0.080764331778971	0.0487704051675617	0.0594160173028081	0.133202298798193	0	0.707182554005186	0.724423074592504
TCGA.A6.2683.11A.01R.A32Z.07	0.135445281034757	0.0906634514794868	0.139875418166032	0.081721996608099	0.133885342145954	0.0326967450183428	0.0977933531685498	0.0770604915319463	0.0544131790367098	0.0199341381173685	0.0328502280336322	0.103660375659121	0	0.601249427740816	0.80563809020846
TCGA.A6.2684.01A.01R.1410.07	0.109652653632235	0.0786029935205086	0.096506241949765	0.0319200004822586	0.118881468156854	0.0693663300729325	0.0784727440183061	0.0720153808784836	0.0850065561383279	0.0507105793945962	0.0760891664663582	0.132775885289375	0	0.642015760842216	0.773382589808549
TCGA.A6.2684.01A.01R.A278.07	0.0878959907123506	0.124640764145133	0.112012710862033	0.0836482464777864	0.0331102013204895	0.0881766866335835	0.170681209062003	0.0905690419213313	0.0783849795581531	0.0346819380117556	0.0703443139993547	0.0258539172960267	0	0.558863688912126	0.839228780408615
TCGA.A6.2684.01C.08R.A277.07	0.0468296465524232	0.0396189891800574	0.212594122452773	0.0566876153913292	0	0.0779769740576218	0.370232694543937	0.0983785246228679	0.0420737055301687	0.018047782424853	0.037559945243969	0	0	0.377055512473007	0.929727800865007
TCGA.A6.2684.11A.01R.A32Z.07	0.133556726578925	0.0579646223213519	0.130153618672709	0.0757542903914839	0.147430226758259	0.0333626409734569	0.127747730581975	0.0865172770343676	0.0570382508247854	0.0233780633892507	0.0325820935965671	0.0945144588768683	0	0.625196571431437	0.789640950433244
TCGA.A6.2685.01A.01R.1410.07	0.105903781028547	0.0681762089171832	0.100002620603162	0.0205236238381263	0.117626320864858	0.0641659756146086	0.10638711720418	0.0946110017369076	0.0880231159446563	0.0399000146303276	0.0718483402410239	0.122831879376419	0	0.784352490873267	0.669947107309545
TCGA.A6.2685.11A.01R.A32Z.07	0.13476834338915	0.0827175342764456	0.13465521365289	0.0677767362408877	0.132527023174285	0.036220473644109	0.107227923996493	0.0759851500437933	0.0631892655626223	0.0300179902665983	0.0311562833641893	0.103758062388537	0	0.660088203964955	0.767087274435337
TCGA.A6.2686.01A.01R.A32Z.07	0.0731504931093836	0.151214087255947	0.177644251718688	0.0682575154454242	0.0505548329174142	0.0491279864183754	0.14578436629037	0.0944533738179867	0.0647503296982803	0.0229389759719555	0.0591500301164591	0.042973757239715	0	0.709456325643495	0.762886539499184
TCGA.A6.2686.11A.01R.A32Z.07	0.142408294759298	0.066112773780241	0.137734657878128	0.0812391494651069	0.157669593719111	0.0321670083499275	0.0855602798585203	0.0724632822014502	0.0549923645552838	0.0230812571016953	0.0328654007767549	0.113705937554483	0	0.667562105949545	0.757964147334094
TCGA.A6.3807.01A.01R.1022.07	0.0885691044467953	0.137177432659376	0.164242458380776	0.0663679242423034	0.03642867553781	0.0667183880006449	0.14129464271288	0.0902331833869795	0.073392707329019	0.037449642097643	0.0592684884287371	0.0388573527770348	0	0.716746663622495	0.75593472671902
TCGA.A6.3808.01A.01R.1022.07	0.10270997906087	0.139586894713497	0.116842482471558	0.0493010544497161	0.0530472182618537	0.0422115137686086	0.128081011006336	0.1038195890951	0.0862519429910645	0.048689187913184	0.0710641439604598	0.0583949823077527	0	0.740836188938734	0.731715454512905
TCGA.A6.3809.01A.01R.1022.07	0.0631200741349357	0.14139316515623	0.149659061037004	0.0624136814164586	0.0544116708229599	0.0572896294906697	0.160005251508719	0.100170268945293	0.0711849953375846	0.0484280708010153	0.0692859553742994	0.0226381759748308	0	0.705257356552008	0.76486788568344
TCGA.A6.3809.01A.01R.A278.07	0.0395050789020658	0.210138234300158	0.147533025100679	0.0618997570459954	0.0404675496138588	0.0703198441496711	0.163114901307527	0.0909524998500142	0.0545096347359759	0.0514808560896984	0.070078618904356	0	0	0.403515944399303	0.917052793372146
TCGA.A6.3809.01B.04R.A277.07	0.021146217654858	0.103660591565903	0.25033887631272	0.0296117915221205	0.0338204864896337	0.0571518814890781	0.219275787861869	0.111865343866893	0.0319857048877221	0.0726255161551577	0.0685178021940444	0	0	0.512472911396173	0.868248162336819
TCGA.A6.3810.01A.01R.1022.07	0.0844604202663298	0.132180918559567	0.147136348424186	0.0697374310568955	0.0461189848462599	0.0618964140807332	0.150226746550044	0.0949310602542547	0.0731855755146747	0.0316302533904862	0.0491748454510527	0.0593210016055161	0	0.701599988001543	0.761043562306009
TCGA.A6.3810.01A.01R.A278.07	0.087705587489726	0.122202547491481	0.126655657846381	0.0864725707629992	0.0561502438919908	0.0738189304470413	0.134175325233487	0.0924051099671477	0.0766697455392756	0.0290056520404012	0.058667253518082	0.0560713757719875	0	0.602817149932952	0.813866710537166
TCGA.A6.3810.01B.04R.A277.07	0.0585430184996728	0.13326460210668	0.173568723463522	0.112722575212372	0.018882846539898	0.0765550332854809	0.3301191465627	0.0476067373725404	0.025604205856084	0.0081284259796114	0.0150046851214379	0	0	0.310000822684757	0.960370504553843
TCGA.A6.4105.01A.02R.1774.07	0.0827349028154622	0.11733359766406	0.118974103627219	0.0434250739819618	0.0806301924713265	0.0557995665347005	0.110612082763256	0.0795872306857798	0.0744438842936166	0.0552916080581226	0.0743397050526058	0.106828052051889	0	0.786099841831898	0.687975351668412
TCGA.A6.4107.01A.02R.1410.07	0.100061982838003	0.0953196289599223	0.0946688039444871	0.0497600210881274	0.121690311116919	0.0480229353017628	0.1454926278826	0.0722397114220004	0.071702495779689	0.0399536421142471	0.0559192760547292	0.105168563497513	0	0.733046445028752	0.718854653243621
TCGA.A6.5656.01A.21R.1839.07	0.091449753024183	0.132845821069726	0.168451049379632	0.0847312793880232	0.0284861149403087	0.0654063660415157	0.119021259772078	0.0657848410801393	0.0702319232223217	0.0603793366740027	0.0584074048149839	0.0548048505930853	0	0.692643567521718	0.768207732036068
TCGA.A6.5656.01A.21R.A278.07	0.0529407895151523	0.103081089569503	0.142286907501658	0.100037659872338	0.0662847003797277	0.0777051518491937	0.159929864990631	0.0851471173011876	0.0677583596988904	0.0443936290211972	0.0661645948516343	0.0342701354488862	0	0.541175731034011	0.849046040089179
TCGA.A6.5656.01B.02R.A277.07	0.0374421384199303	0	0.100994229879802	0.0949821614684875	0.0545729003468581	0.0593565357000184	0.438944533272948	0.135058023320559	0.0322101638496966	0.0257747933452126	0.0206645203964876	0	0	0.326826815764681	0.953435287830198
TCGA.A6.5657.01A.01R.A32Z.07	0.0739907069845276	0.124339734987422	0.157889423300515	0.0410351166917239	0.0493436468269139	0.0637805039908141	0.146419815220414	0.0875914565703944	0.0771294938231895	0.0481121184102893	0.0798491089019685	0.0505188742918267	0	0.732622152615234	0.741613968647664
