Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA.CM.4750.01A.01R.1410.07	0.125424363774014	0	0	0.169321635548111	0	0.0348904547041857	0.0110028620293031	0.0739269782593448	0.099632583012988	0	0.00222427242634135	0	0.0142350911288315	0.237875061396901	0.111111577750307	0.0281124866239926	0.0335287088487636	0	0	0.0587139244969157	0	0	0.234	0.058171762183045	1.07181973063365
TCGA.CM.4751.01A.02R.1839.07	0	0.0316526466309904	0.0297421012135892	0.197815178087675	0	0.0928467815929173	0.14887893514706	0.0777220217546068	0.0492573190696944	0	0.028279409588866	0	0	0.0788011687003791	0.0964546024257434	0.0949384611344429	0.0144494359944812	0	0.0591619386595546	0	0	0	0.0620000000000001	0.147723991000752	1.02706273585206
TCGA.CM.4752.01A.01R.1410.07	0.0914423928450564	0	0.00902471346839794	0.0746135585608606	0	0.0899525216492703	0.140371376156211	0.101114772756902	0.00853443540842567	0.00114856596737177	0	0	0	0.102468348267303	0.0949140296998583	0.17242948669144	0.0581236444810731	0	0.0546769128300727	0	0	0.0011852412177568	0.029	0.186628457937962	1.00210062632893
TCGA.CM.5341.01A.01R.1410.07	0.0264551007752719	0	0.00203411953674805	0.0317563235584497	0	0.0823151254484482	0.0531693226578647	0.0206245559547673	0.012993427921677	0	0	0	0	0.302698087398136	0.0547886045366652	0.302496176630862	0.0451807569985789	0.0166872256080632	0	0.0259821512130038	0.0105287754696139	0.0122902462918502	0.002	0.425183452484711	0.908025712829789
TCGA.CM.5344.01A.21R.1723.07	0.0762202296255444	0	0.0291016973614895	0.0335539636012441	0	0.0752882611651997	0	0.00289094117014102	0.0569841820429523	0	0	0.0109333679652091	0	0.572102279696177	0.0504025603360334	0.060826778354039	0.000748229973310769	0	0.0309475087086596	0	0	0	0.018	0.221494866700959	1.03983555343765
TCGA.CM.5348.01A.21R.1723.07	0.0398944158659084	0	0	0.0141087347030214	0	0.0341637648164547	0.000852865038648804	0	0.0255423919733436	0	0.0102698310992318	5.40833877154924e-05	0	0.714297635101579	0.0205933303931301	0.0694702832458046	0.0252377549731682	0.00393055133657809	0.0415843580654165	0	0	0	0	0.665864487338854	0.747930427474424
TCGA.CM.5349.01A.21R.1723.07	0.0845883628642067	0	0	0.0211642966595135	0	0.0399261189767338	0.029531788925339	0.00224038491305912	0.0242633950316523	0	0.0213337769578735	0	0	0.613224334226507	0.0392023938562538	0.11405462783775	0	0	0.0104705197511115	0	0	0	0.001	0.529649699597388	0.854294209329445
TCGA.CM.5860.01A.01R.1653.07	0.0050771652573061	0	0.00325915104432652	0.0445499984366906	0	0.144472690872499	0.0467684953047814	0.0207844329234944	0.0305652007707357	0	0.0132033253770788	0	0	0.390079704875146	0.0983937303117523	0.125412010073483	0.0121694886568716	0	0.0652646060958353	0	0	0	0.032	0.181202954155504	1.03189848229914
TCGA.CM.5861.01A.01R.1653.07	0.0594073263476108	0	0.00562894793044079	0.253373928211397	0	0	0	0.0561950964253487	0.0418192220436978	0	0	0.059770435937451	0	0.299227523320849	0.129396122794278	0.0636044833800768	0	0	0	0.0243036172380709	0	0.0072732963707799	0.184	0.0734448816585389	1.08215277687778
TCGA.CM.5862.01A.01R.1653.07	0.0552029273397288	0	0.0135298850761725	0.034426625237354	0	0.172973156542291	0.127762165310883	0.0122939916947649	0	0	0.0169451372034681	0.058776896774816	0.0188824135315669	0.328913109644131	0.0189036540527477	0.0975888591838363	0.00271136287105618	0.00378928049325618	0.0290367371241074	0	0.00826379791982072	0	0.241	0.0563272467813461	1.07228184995143
TCGA.CM.5863.01A.21R.1839.07	0.0863076666553907	0	0.0234038856257005	0.0939196102410875	0	0.195041808430877	0.00745169553814982	0	0	0	0.0122428393871981	0	0.0220903226201956	0.17142098966273	0.112447518421048	0.206996946973704	0.0224459431134867	0	0.0258321451283339	0.00613806261445502	0	0.0142605655876426	0.04	0.174060243772332	1.01662126244509
TCGA.CM.5864.01A.01R.1653.07	0.0305513739463206	0	0.00613912122123589	0.109185242710786	0	0.290477710159967	0.15632485257264	0.0565555430905607	0	0	0.0193407561473539	0	0	0.12332290662376	0.0663979913086165	0.0990030852444899	0.0206859290078356	0	0.0220154879664338	0	0	0	0.2	0.068695455089819	1.06420787758828
TCGA.CM.5868.01A.01R.1653.07	0.0331850429244662	0.0144746393602052	0	0.0406522990929222	0	0.116931705263454	0	0.00972213083052736	0.0929612984614678	0	0	0.0209076026178909	0	0.472490631649136	0.0336101239566259	0.136123263255792	0.00159982507202529	0	0	0.0273414375154871	0	0	0.158	0.0855273739836718	1.0964631495894
TCGA.CM.6161.01A.11R.1653.07	0.0574078995156099	0	0.0110747127101887	0.107395247244276	0	0.186391908160551	0.144917561447929	0.0308577794440577	0.03333832791337	0	0	0	0	0.177734441490154	0.0208518892630167	0.144864988544336	0.0422253053272923	0.00637663678637668	0.0363506850622905	0	0.000212617090551774	0	0.025	0.196758393222422	1.00265783949457
TCGA.CM.6162.01A.11R.1653.07	0.0664934667211764	0	0.00910238299403613	0.0809082142352135	0	0.215683404158723	0.0483856693712074	0	0.00724284169928059	0	0.0384325059805865	0	0.0196536401459604	0.187580371302909	0.0911480871989652	0.138359118232019	0.00149448199345931	0	0.0467890264843815	0.000187866152004109	0.00760802180700358	0.0409309015230741	0.017	0.231550018527842	0.98916629874321
TCGA.CM.6163.01A.11R.1653.07	0.0779028653105746	0	0.0281219693969295	0.153409008943401	0	0.185548541978365	0.0451374296821895	0.0294820381697456	0.0556587237922157	0	0.0116926306980345	0	0	0.102495432280484	0.0582988499933314	0.119219593701761	0.0837206425712041	0.00430321417674836	0.00761101384257599	0	0.00760845907172545	0.0297895863907139	0.026	0.193977229418257	1.00452292727711
TCGA.CM.6164.01A.11R.1653.07	0.00950114104710079	0.0240384485157099	0	0.163434810130668	0	0.0720004836886656	0.0268079805266207	0.0790210781630145	0	0	0.0407182025994942	0.00421467638089409	0	0.346108920379647	0.104685450538027	0.0820931575462702	0	0	0	0.0413325418237353	0	0.00604310866015323	0.091	0.122435356606514	1.05712232614976
